Category,Sub Category,Sub Category Level 2,Product Name,Product Code,Active,Main Image,Flip Image,Handpicked,Curated,Deals & Bundles,Loyalty Points,Tax,Split Tax Applicable,Tax 2,Tax Applicable After,SKU Code,Color,Size,HSN Code,EAN Code,MRP,Discounted Price,Available Quantity,Pack of,Description,Care Instructions,Page Title,Meta Keywords,Meta Description
Decor,Wallpaper,,Floral Wallpaper,WALLPAPER-BEL-2022- D1,1,http://15.207.41.68/images/products/1624284860-1_crop.jpg,http://15.207.41.68/images/products/1624284862-6_crop.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2025- D2,Georgia Peach,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Floral Wallpaper,WALLPAPER-BEL-2022- D1,1,http://15.207.41.68/images/products/1624282581-1_crop.jpg,http://15.207.41.68/images/products/1624282582-6_crop.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2022- D1,Lavender Herb,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2039- D3,1,https://www.dropbox.com/s/zd3xohetcw3cq9e/3.1.jpg,https://www.dropbox.com/s/phktf87q50wkfcj/3.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2039- D3,Light Slate Gray,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2038- D4,1,https://www.dropbox.com/s/bpj5g6r2e23a7dj/4.1.jpg,https://www.dropbox.com/s/gh8hex8bv20nasl/4.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2038- D4,Red Clay,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2041- D5,1,https://www.dropbox.com/s/3xizoxe8lzvourg/5.1.jpg,https://www.dropbox.com/s/k8k10k3gnsk7l40/5.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2041- D5,Pale Peach,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2040- D6,1,https://www.dropbox.com/s/mmoowq7oeklxba7/6.1.jpg,https://www.dropbox.com/s/pnvw1fks1sk2x9b/6.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2040- D6,Wheat,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2043- D7,1,https://www.dropbox.com/s/v5d81nwyn4fb5zo/7.1.jpg,https://www.dropbox.com/s/cge1cx0511ytk8a/7.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2043- D7,Grey,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2049- D8,1,https://www.dropbox.com/s/6ahu9jmrs0kgeqt/8.1.jpg,https://www.dropbox.com/s/qilmywbvof61wgs/8.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2049- D8,Bombay Brown,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2050- D9,1,https://www.dropbox.com/s/60k9i1nwveml6bc/9.1.jpg,https://www.dropbox.com/s/urip6qg0ij22e3o/9.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2050- D9,Orange Rust,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Brick Wallpaper,WALLPAPER-BEL-2051- D10,1,https://www.dropbox.com/s/dmafs81lvdx6ia9/10.1.jpg,https://www.dropbox.com/s/belrbcirys4cq8s/10.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2051- D10,Multi,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Abstract Wallpaper,WALLPAPER-BEL-2052- D12,1,https://www.dropbox.com/s/rwow1rpxyelb7hm/12.1.jpg,https://www.dropbox.com/s/mkfri7a05yjp4nb/12.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2052- D12,White Smoke,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 50 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Abstract Wallpaper,WALLPAPER-BEL-2054- D13,1,https://www.dropbox.com/s/yi7r96207t5qsgd/13.1.jpg,https://www.dropbox.com/s/u3kyokq805z3wgi/13.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2054- D13,Light Grey,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 50 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-BEL-2055- D14,1,https://www.dropbox.com/s/d9ssz4pywo8u82e/14.1.jpg,https://www.dropbox.com/s/v6gszrj3yvkxtp7/14.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2055- D14,Grey,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-BEL-2056- D15,1,https://www.dropbox.com/s/134uwoo1acalukx/15.1.jpg,https://www.dropbox.com/s/2ua7uudrlquk0y5/15.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2056- D15,"Light Slate Gray	",21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Damask Wallpaper,WALLPAPER-BEL-2026- D16,1,https://www.dropbox.com/s/av0rbgouy0dhpwk/16.1.jpg,https://www.dropbox.com/s/iqwm3iaoey1kj42/16.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2026- D16,Cloud Cream,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Damask Wallpaper,WALLPAPER-BEL-2026- D16,1,https://www.dropbox.com/s/c0z19pcbqbtijon/17.1.jpg,https://www.dropbox.com/s/5r1ncgfmitv72xd/17.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2028- D17,Gray Dawn,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-BEL-2033- D18,1,https://www.dropbox.com/s/7ey0b6elaoufw13/18.1.jpg,https://www.dropbox.com/s/f3eu0b4bh968iui/18.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2033- D18,Golden Straw,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Damask Wallpaper,WALLPAPER-BEL-2026- D16,1,https://www.dropbox.com/s/wb9vwmxjyakgdii/19.1.jpg,https://www.dropbox.com/s/1lq3bt31x8ylx7y/19.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-2036- D19,Light Grey,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 45 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-BEL-8041- D20,1,https://www.dropbox.com/s/10wlu8zwr7jz0an/20.1.jpg,https://www.dropbox.com/s/5zbrab50mdo0peg/20.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-BEL-8041- D20,Light Grey,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
